locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFGBILMD_00001	CDS	300				hypothetical protein
GFGBILMD_00002	CDS	549				hypothetical protein
GFGBILMD_00003	CDS	990	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
GFGBILMD_00004	CDS	1698	cysG_1	4.99.1.4		Siroheme synthase
GFGBILMD_00005	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GFGBILMD_00006	CDS	1407	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GFGBILMD_00007	CDS	279			COG0526	putative protein
GFGBILMD_00008	CDS	2907	mmpL2_1		COG2409	putative transport protein MmpL2
GFGBILMD_00009	CDS	438	mmpS2			putative transport accessory protein MmpS2
GFGBILMD_00010	CDS	924	serB1	3.1.3.3	COG0560	Phosphoserine phosphatase SerB1
GFGBILMD_00011	CDS	501				hypothetical protein
GFGBILMD_00012	CDS	909	cmaA2	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 2
GFGBILMD_00013	CDS	1077			COG0204	putative protein
GFGBILMD_00014	CDS	1131			COG0451	putative protein
GFGBILMD_00015	CDS	102				hypothetical protein
GFGBILMD_00016	CDS	237				Putative DNA-binding proteinA
GFGBILMD_00017	CDS	888	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GFGBILMD_00018	CDS	876				putative protein
GFGBILMD_00019	CDS	843			COG1082	putative protein
GFGBILMD_00020	CDS	933				putative protein
GFGBILMD_00021	CDS	1035	ppx1	3.6.1.11	COG0248	Exopolyphosphatase 1
GFGBILMD_00022	CDS	771				putative protein
GFGBILMD_00023	CDS	717			COG2186	putative HTH-type transcriptional regulator
GFGBILMD_00024	CDS	951				putative protein
GFGBILMD_00025	CDS	330				hypothetical protein
GFGBILMD_00026	CDS	1890		1.1.-.-	COG2303	putative GMC-type oxidoreductase
GFGBILMD_00027	CDS	684	regX3		COG0745	Sensory transduction protein regX3
GFGBILMD_00028	CDS	1233	senX3	2.7.13.3		Sensor-like histidine kinase senX3
GFGBILMD_00029	CDS	771	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GFGBILMD_00030	CDS	639	argO_1		COG1279	Arginine exporter protein ArgO
GFGBILMD_00031	CDS	552				putative protein
GFGBILMD_00032	CDS	1434	mshA_1	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
GFGBILMD_00033	CDS	1317			COG1940	Transcriptional regulator
GFGBILMD_00034	CDS	756		1.-.-.-	COG4221	putative oxidoreductase
GFGBILMD_00035	CDS	1356	lprQ	2.3.2.-	COG1376	L,D-transpeptidase 5
GFGBILMD_00036	CDS	1110	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
GFGBILMD_00037	CDS	525				putative protein
GFGBILMD_00038	CDS	843		3.5.-.-	COG0388	Hydrolase
GFGBILMD_00039	CDS	750				putative protein
GFGBILMD_00040	CDS	675	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
GFGBILMD_00041	CDS	447				putative protein
GFGBILMD_00042	CDS	264				hypothetical protein
GFGBILMD_00043	CDS	600	hbhA			Heparin-binding hemagglutinin
GFGBILMD_00044	CDS	423			COG1396	putative HTH-type transcriptional regulator
GFGBILMD_00045	CDS	1350				hypothetical protein
GFGBILMD_00046	CDS	705				putative HTH-type transcriptional regulator
GFGBILMD_00047	CDS	489				hypothetical protein
GFGBILMD_00048	CDS	285				hypothetical protein
GFGBILMD_00049	CDS	864	pcaA	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 3
GFGBILMD_00050	CDS	861	umaA	2.1.1.-	COG2230	S-adenosylmethionine-dependent methyltransferase UmaA
GFGBILMD_00051	CDS	861	fadB2	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
GFGBILMD_00052	CDS	1287	icl	4.1.3.1	COG2224	Isocitrate lyase
GFGBILMD_00053	CDS	795			COG3884	putative protein
GFGBILMD_00054	CDS	1425	ramB		COG1396	HTH-type transcriptional regulator RamB
GFGBILMD_00055	CDS	573				hypothetical protein
GFGBILMD_00056	CDS	294				hypothetical protein
GFGBILMD_00057	CDS	1395	lpdC	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
GFGBILMD_00058	CDS	570				hypothetical protein
GFGBILMD_00059	CDS	279				hypothetical protein
GFGBILMD_00060	CDS	492				hypothetical protein
GFGBILMD_00061	CDS	1524		1.2.1.3	COG1012	putative aldehyde dehydrogenase
GFGBILMD_00062	CDS	2031				hypothetical protein
GFGBILMD_00063	CDS	915				Putative enoyl-CoA hydratase EchA13
GFGBILMD_00064	CDS	447				hypothetical protein
GFGBILMD_00065	CDS	231				hypothetical protein
GFGBILMD_00066	CDS	324				hypothetical protein
GFGBILMD_00067	CDS	1557				putative PPE family protein PPE20
GFGBILMD_00068	CDS	762				hypothetical protein
GFGBILMD_00069	CDS	417	mmpS4_1			Siderophore export accessory protein MmpS4
GFGBILMD_00070	CDS	2904	mmpL4		COG2409	Siderophore exporter MmpL4
GFGBILMD_00071	CDS	1296				hypothetical protein
GFGBILMD_00072	CDS	732				hypothetical protein
GFGBILMD_00073	CDS	1284	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
GFGBILMD_00074	CDS	783				hypothetical protein
GFGBILMD_00075	CDS	564	sigK		COG1595	ECF RNA polymerase sigma factor SigK
GFGBILMD_00076	CDS	699	rskA			Anti-sigma-K factor RskA
GFGBILMD_00077	CDS	558				hypothetical protein
GFGBILMD_00078	CDS	1413				putative PPE family protein PPE10
GFGBILMD_00079	CDS	429				putative protein
GFGBILMD_00080	CDS	1623	groEL2		COG0459	60 kDa chaperonin 2
GFGBILMD_00081	CDS	936				hypothetical protein
GFGBILMD_00082	CDS	1179	moaE2_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 2
GFGBILMD_00083	CDS	696	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
GFGBILMD_00084	CDS	861				hypothetical protein
